"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","AgeGroup","FamilySize","FamilyType","FareGroup"
0,3,"male",22,1,0,7.25,"","S","Adult",2,"Small Family","Low"
1,1,"female",38,1,0,71.2833,"C85","C","Adult",2,"Small Family","High"
1,3,"female",26,0,0,7.925,"","S","Adult",1,"Solo","Low"
1,1,"female",35,1,0,53.1,"C123","S","Adult",2,"Small Family","High"
0,3,"male",35,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,8.4583,"","Q","Adult",1,"Solo","Low"
0,1,"male",54,0,0,51.8625,"E46","S","Adult",1,"Solo","High"
0,3,"male",2,3,1,21.075,"","S","Child",5,"Large Family","Medium"
1,3,"female",27,0,2,11.1333,"","S","Adult",3,"Small Family","Medium"
1,2,"female",14,1,0,30.0708,"","C","Child",2,"Small Family","High"
1,3,"female",4,1,1,16.7,"G6","S","Child",3,"Small Family","Medium"
1,1,"female",58,0,0,26.55,"C103","S","Adult",1,"Solo","Medium"
0,3,"male",20,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",39,1,5,31.275,"","S","Adult",7,"Large Family","High"
0,3,"female",14,0,0,7.8542,"","S","Child",1,"Solo","Low"
1,2,"female",55,0,0,16,"","S","Adult",1,"Solo","Medium"
0,3,"male",2,4,1,29.125,"","Q","Child",6,"Large Family","Medium"
1,2,"male",28,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"female",31,1,0,18,"","S","Adult",2,"Small Family","Medium"
1,3,"female",28,0,0,7.225,"","C","Adult",1,"Solo","Low"
0,2,"male",35,0,0,26,"","S","Adult",1,"Solo","Medium"
1,2,"male",34,0,0,13,"D56","S","Adult",1,"Solo","Medium"
1,3,"female",15,0,0,8.0292,"","Q","Child",1,"Solo","Low"
1,1,"male",28,0,0,35.5,"A6","S","Adult",1,"Solo","High"
0,3,"female",8,3,1,21.075,"","S","Child",5,"Large Family","Medium"
1,3,"female",38,1,5,31.3875,"","S","Adult",7,"Large Family","High"
0,3,"male",28,0,0,7.225,"","C","Adult",1,"Solo","Low"
0,1,"male",19,3,2,263,"C23 C25 C27","S","Adult",6,"Large Family","High"
1,3,"female",28,0,0,7.8792,"","Q","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,1,"male",40,0,0,27.7208,"","C","Adult",1,"Solo","Medium"
1,1,"female",28,1,0,146.5208,"B78","C","Adult",2,"Small Family","High"
1,3,"female",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,2,"male",66,0,0,10.5,"","S","Elderly",1,"Solo","Medium"
0,1,"male",28,1,0,82.1708,"","C","Adult",2,"Small Family","High"
0,1,"male",42,1,0,52,"","S","Adult",2,"Small Family","High"
1,3,"male",28,0,0,7.2292,"","C","Adult",1,"Solo","Low"
0,3,"male",21,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"female",18,2,0,18,"","S","Adult",3,"Small Family","Medium"
1,3,"female",14,1,0,11.2417,"","C","Child",2,"Small Family","Medium"
0,3,"female",40,1,0,9.475,"","S","Adult",2,"Small Family","Low"
0,2,"female",27,1,0,21,"","S","Adult",2,"Small Family","Medium"
0,3,"male",28,0,0,7.8958,"","C","Adult",1,"Solo","Low"
1,2,"female",3,1,2,41.5792,"","C","Child",4,"Small Family","High"
1,3,"female",19,0,0,7.8792,"","Q","Adult",1,"Solo","Low"
0,3,"male",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",28,1,0,15.5,"","Q","Adult",2,"Small Family","Medium"
1,3,"female",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,3,"male",28,2,0,21.6792,"","C","Adult",3,"Small Family","Medium"
0,3,"female",18,1,0,17.8,"","S","Adult",2,"Small Family","Medium"
0,3,"male",7,4,1,39.6875,"","S","Child",6,"Large Family","High"
0,3,"male",21,0,0,7.8,"","S","Adult",1,"Solo","Low"
1,1,"female",49,1,0,76.7292,"D33","C","Adult",2,"Small Family","High"
1,2,"female",29,1,0,26,"","S","Adult",2,"Small Family","Medium"
0,1,"male",65,0,1,61.9792,"B30","C","Elderly",2,"Small Family","High"
1,1,"male",28,0,0,35.5,"C52","S","Adult",1,"Solo","High"
1,2,"female",21,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",28.5,0,0,7.2292,"","C","Adult",1,"Solo","Low"
1,2,"female",5,1,2,27.75,"","S","Child",4,"Small Family","Medium"
0,3,"male",11,5,2,46.9,"","S","Child",8,"Large Family","High"
0,3,"male",22,0,0,7.2292,"","C","Adult",1,"Solo","Low"
1,1,"female",38,0,0,80,"B28","S","Adult",1,"Solo","High"
0,1,"male",45,1,0,83.475,"C83","S","Adult",2,"Small Family","High"
0,3,"male",4,3,2,27.9,"","S","Child",6,"Large Family","Medium"
0,1,"male",28,0,0,27.7208,"","C","Adult",1,"Solo","Medium"
1,3,"male",28,1,1,15.2458,"","C","Adult",3,"Small Family","Medium"
1,2,"female",29,0,0,10.5,"F33","S","Adult",1,"Solo","Medium"
0,3,"male",19,0,0,8.1583,"","S","Adult",1,"Solo","Low"
1,3,"female",17,4,2,7.925,"","S","Adult",7,"Large Family","Low"
0,3,"male",26,2,0,8.6625,"","S","Adult",3,"Small Family","Low"
0,2,"male",32,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,3,"female",16,5,2,46.9,"","S","Adult",8,"Large Family","High"
0,2,"male",21,0,0,73.5,"","S","Adult",1,"Solo","High"
0,3,"male",26,1,0,14.4542,"","C","Adult",2,"Small Family","Medium"
1,3,"male",32,0,0,56.4958,"","S","Adult",1,"Solo","High"
0,3,"male",25,0,0,7.65,"F G73","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,2,"male",0.83,0,2,29,"","S","Child",3,"Small Family","Medium"
1,3,"female",30,0,0,12.475,"","S","Adult",1,"Solo","Medium"
0,3,"male",22,0,0,9,"","S","Adult",1,"Solo","Low"
1,3,"male",29,0,0,9.5,"","S","Adult",1,"Solo","Low"
1,3,"female",28,0,0,7.7875,"","Q","Adult",1,"Solo","Low"
0,1,"male",28,0,0,47.1,"","S","Adult",1,"Solo","High"
1,2,"female",17,0,0,10.5,"","S","Adult",1,"Solo","Medium"
1,3,"female",33,3,0,15.85,"","S","Adult",4,"Small Family","Medium"
0,3,"male",16,1,3,34.375,"","S","Adult",5,"Large Family","High"
0,3,"male",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,1,"female",23,3,2,263,"C23 C25 C27","S","Adult",6,"Large Family","High"
0,3,"male",24,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",29,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",20,0,0,7.8542,"","S","Adult",1,"Solo","Low"
0,1,"male",46,1,0,61.175,"E31","S","Adult",2,"Small Family","High"
0,3,"male",26,1,2,20.575,"","S","Adult",4,"Small Family","Medium"
0,3,"male",59,0,0,7.25,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,1,"male",71,0,0,34.6542,"A5","C","Elderly",1,"Solo","High"
1,1,"male",23,0,1,63.3583,"D10 D12","C","Adult",2,"Small Family","High"
1,2,"female",34,0,1,23,"","S","Adult",2,"Small Family","Medium"
0,2,"male",34,1,0,26,"","S","Adult",2,"Small Family","Medium"
0,3,"female",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,1,"male",21,0,1,77.2875,"D26","S","Adult",2,"Small Family","High"
0,3,"male",33,0,0,8.6542,"","S","Adult",1,"Solo","Low"
0,3,"male",37,2,0,7.925,"","S","Adult",3,"Small Family","Low"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,3,"female",21,0,0,7.65,"","S","Adult",1,"Solo","Low"
1,3,"male",28,0,0,7.775,"","S","Adult",1,"Solo","Low"
0,3,"male",38,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,3,"female",28,1,0,24.15,"","Q","Adult",2,"Small Family","Medium"
0,1,"male",47,0,0,52,"C110","S","Adult",1,"Solo","High"
0,3,"female",14.5,1,0,14.4542,"","C","Child",2,"Small Family","Medium"
0,3,"male",22,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"female",20,1,0,9.825,"","S","Adult",2,"Small Family","Low"
0,3,"female",17,0,0,14.4583,"","C","Adult",1,"Solo","Medium"
0,3,"male",21,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,3,"male",70.5,0,0,7.75,"","Q","Elderly",1,"Solo","Low"
0,2,"male",29,1,0,21,"","S","Adult",2,"Small Family","Medium"
0,1,"male",24,0,1,247.5208,"B58 B60","C","Adult",2,"Small Family","High"
0,3,"female",2,4,2,31.275,"","S","Child",7,"Large Family","High"
0,2,"male",21,2,0,73.5,"","S","Adult",3,"Small Family","High"
0,3,"male",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,2,"male",32.5,1,0,30.0708,"","C","Adult",2,"Small Family","High"
1,2,"female",32.5,0,0,13,"E101","S","Adult",1,"Solo","Medium"
0,1,"male",54,0,1,77.2875,"D26","S","Adult",2,"Small Family","High"
1,3,"male",12,1,0,11.2417,"","C","Child",2,"Small Family","Medium"
0,3,"male",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
1,3,"male",24,0,0,7.1417,"","S","Adult",1,"Solo","Low"
1,3,"female",28,1,1,22.3583,"F E69","C","Adult",3,"Small Family","Medium"
0,3,"male",45,0,0,6.975,"","S","Adult",1,"Solo","Low"
0,3,"male",33,0,0,7.8958,"","C","Adult",1,"Solo","Low"
0,3,"male",20,0,0,7.05,"","S","Adult",1,"Solo","Low"
0,3,"female",47,1,0,14.5,"","S","Adult",2,"Small Family","Medium"
1,2,"female",29,1,0,26,"","S","Adult",2,"Small Family","Medium"
0,2,"male",25,0,0,13,"","S","Adult",1,"Solo","Medium"
0,2,"male",23,0,0,15.0458,"","C","Adult",1,"Solo","Medium"
1,1,"female",19,0,2,26.2833,"D47","S","Adult",3,"Small Family","Medium"
0,1,"male",37,1,0,53.1,"C123","S","Adult",2,"Small Family","High"
0,3,"male",16,0,0,9.2167,"","S","Adult",1,"Solo","Low"
0,1,"male",24,0,0,79.2,"B86","C","Adult",1,"Solo","High"
0,3,"female",28,0,2,15.2458,"","C","Adult",3,"Small Family","Medium"
1,3,"female",22,0,0,7.75,"","S","Adult",1,"Solo","Low"
1,3,"female",24,1,0,15.85,"","S","Adult",2,"Small Family","Medium"
0,3,"male",19,0,0,6.75,"","Q","Adult",1,"Solo","Low"
0,2,"male",18,0,0,11.5,"","S","Adult",1,"Solo","Medium"
0,2,"male",19,1,1,36.75,"","S","Adult",3,"Small Family","High"
1,3,"male",27,0,0,7.7958,"","S","Adult",1,"Solo","Low"
0,3,"female",9,2,2,34.375,"","S","Child",5,"Large Family","High"
0,2,"male",36.5,0,2,26,"F2","S","Adult",3,"Small Family","Medium"
0,2,"male",42,0,0,13,"","S","Adult",1,"Solo","Medium"
0,2,"male",51,0,0,12.525,"","S","Adult",1,"Solo","Medium"
1,1,"female",22,1,0,66.6,"C2","S","Adult",2,"Small Family","High"
0,3,"male",55.5,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",40.5,0,2,14.5,"","S","Adult",3,"Small Family","Medium"
0,3,"male",28,0,0,7.3125,"","S","Adult",1,"Solo","Low"
0,1,"male",51,0,1,61.3792,"","C","Adult",2,"Small Family","High"
1,3,"female",16,0,0,7.7333,"","Q","Adult",1,"Solo","Low"
0,3,"male",30,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,8.6625,"","S","Adult",1,"Solo","Low"
0,3,"male",28,8,2,69.55,"","S","Adult",11,"Large Family","High"
0,3,"male",44,0,1,16.1,"","S","Adult",2,"Small Family","Medium"
1,2,"female",40,0,0,15.75,"","S","Adult",1,"Solo","Medium"
0,3,"male",26,0,0,7.775,"","S","Adult",1,"Solo","Low"
0,3,"male",17,0,0,8.6625,"","S","Adult",1,"Solo","Low"
0,3,"male",1,4,1,39.6875,"","S","Child",6,"Large Family","High"
1,3,"male",9,0,2,20.525,"","S","Child",3,"Small Family","Medium"
1,1,"female",28,0,1,55,"E33","S","Adult",2,"Small Family","High"
0,3,"female",45,1,4,27.9,"","S","Adult",6,"Large Family","Medium"
0,1,"male",28,0,0,25.925,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,56.4958,"","S","Adult",1,"Solo","High"
0,1,"male",61,0,0,33.5,"B19","S","Elderly",1,"Solo","High"
0,3,"male",4,4,1,29.125,"","Q","Child",6,"Large Family","Medium"
1,3,"female",1,1,1,11.1333,"","S","Child",3,"Small Family","Medium"
0,3,"male",21,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,1,"male",56,0,0,30.6958,"A7","C","Adult",1,"Solo","High"
0,3,"male",18,1,1,7.8542,"","S","Adult",3,"Small Family","Low"
0,3,"male",28,3,1,25.4667,"","S","Adult",5,"Large Family","Medium"
0,1,"female",50,0,0,28.7125,"C49","C","Adult",1,"Solo","Medium"
0,2,"male",30,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",36,0,0,0,"","S","Adult",1,"Solo","Low"
0,3,"female",28,8,2,69.55,"","S","Adult",11,"Large Family","High"
0,2,"male",28,0,0,15.05,"","C","Adult",1,"Solo","Medium"
0,3,"male",9,4,2,31.3875,"","S","Child",7,"Large Family","High"
1,2,"male",1,2,1,39,"F4","S","Child",4,"Small Family","High"
1,3,"female",4,0,2,22.025,"","S","Child",3,"Small Family","Medium"
0,1,"male",28,0,0,50,"A32","S","Adult",1,"Solo","High"
1,3,"female",28,1,0,15.5,"","Q","Adult",2,"Small Family","Medium"
1,1,"male",45,0,0,26.55,"","S","Adult",1,"Solo","Medium"
0,3,"male",40,1,1,15.5,"","Q","Adult",3,"Small Family","Medium"
0,3,"male",36,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,2,"female",32,0,0,13,"","S","Adult",1,"Solo","Medium"
0,2,"male",19,0,0,13,"","S","Adult",1,"Solo","Medium"
1,3,"female",19,1,0,7.8542,"","S","Adult",2,"Small Family","Low"
1,2,"male",3,1,1,26,"F2","S","Child",3,"Small Family","Medium"
1,1,"female",44,0,0,27.7208,"B4","C","Adult",1,"Solo","Medium"
1,1,"female",58,0,0,146.5208,"B80","C","Adult",1,"Solo","High"
0,3,"male",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,3,"male",42,0,1,8.4042,"","S","Adult",2,"Small Family","Low"
1,3,"female",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,2,"female",24,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,9.5,"","S","Adult",1,"Solo","Low"
0,3,"male",28,8,2,69.55,"","S","Adult",11,"Large Family","High"
0,3,"male",34,0,0,6.4958,"","S","Adult",1,"Solo","Low"
0,3,"male",45.5,0,0,7.225,"","C","Adult",1,"Solo","Low"
1,3,"male",18,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"female",2,0,1,10.4625,"G6","S","Child",2,"Small Family","Medium"
0,3,"male",32,1,0,15.85,"","S","Adult",2,"Small Family","Medium"
1,3,"male",26,0,0,18.7875,"","C","Adult",1,"Solo","Medium"
1,3,"female",16,0,0,7.75,"","Q","Adult",1,"Solo","Low"
1,1,"male",40,0,0,31,"A31","C","Adult",1,"Solo","High"
0,3,"male",24,0,0,7.05,"","S","Adult",1,"Solo","Low"
1,2,"female",35,0,0,21,"","S","Adult",1,"Solo","Medium"
0,3,"male",22,0,0,7.25,"","S","Adult",1,"Solo","Low"
0,2,"male",30,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,1,0,7.75,"","Q","Adult",2,"Small Family","Low"
1,1,"female",31,1,0,113.275,"D36","C","Adult",2,"Small Family","High"
1,3,"female",27,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,2,"male",42,1,0,27,"","S","Adult",2,"Small Family","Medium"
1,1,"female",32,0,0,76.2917,"D15","C","Adult",1,"Solo","High"
0,2,"male",30,0,0,10.5,"","S","Adult",1,"Solo","Medium"
1,3,"male",16,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,2,"male",27,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",51,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,1,"male",38,1,0,90,"C93","S","Adult",2,"Small Family","High"
0,3,"male",22,0,0,9.35,"","S","Adult",1,"Solo","Low"
1,2,"male",19,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",20.5,0,0,7.25,"","S","Adult",1,"Solo","Low"
0,2,"male",18,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"female",28,3,1,25.4667,"","S","Adult",5,"Large Family","Medium"
1,1,"female",35,1,0,83.475,"C83","S","Adult",2,"Small Family","High"
0,3,"male",29,0,0,7.775,"","S","Adult",1,"Solo","Low"
0,2,"male",59,0,0,13.5,"","S","Adult",1,"Solo","Medium"
1,3,"female",5,4,2,31.3875,"","S","Child",7,"Large Family","High"
0,2,"male",24,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,3,"female",28,0,0,7.55,"","S","Adult",1,"Solo","Low"
0,2,"male",44,1,0,26,"","S","Adult",2,"Small Family","Medium"
1,2,"female",8,0,2,26.25,"","S","Child",3,"Small Family","Medium"
0,2,"male",19,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,2,"male",33,0,0,12.275,"","S","Adult",1,"Solo","Medium"
0,3,"female",28,1,0,14.4542,"","C","Adult",2,"Small Family","Medium"
1,3,"female",28,1,0,15.5,"","Q","Adult",2,"Small Family","Medium"
0,2,"male",29,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",22,0,0,7.125,"","S","Adult",1,"Solo","Low"
0,3,"male",30,0,0,7.225,"","C","Adult",1,"Solo","Low"
0,1,"male",44,2,0,90,"C78","Q","Adult",3,"Small Family","High"
0,3,"female",25,0,0,7.775,"","S","Adult",1,"Solo","Low"
1,2,"female",24,0,2,14.5,"","S","Adult",3,"Small Family","Medium"
1,1,"male",37,1,1,52.5542,"D35","S","Adult",3,"Small Family","High"
0,2,"male",54,1,0,26,"","S","Adult",2,"Small Family","Medium"
0,3,"male",28,0,0,7.25,"","S","Adult",1,"Solo","Low"
0,3,"female",29,1,1,10.4625,"G6","S","Adult",3,"Small Family","Medium"
0,1,"male",62,0,0,26.55,"C87","S","Elderly",1,"Solo","Medium"
0,3,"male",30,1,0,16.1,"","S","Adult",2,"Small Family","Medium"
0,3,"female",41,0,2,20.2125,"","S","Adult",3,"Small Family","Medium"
1,3,"female",29,0,2,15.2458,"","C","Adult",3,"Small Family","Medium"
1,1,"female",28,0,0,79.2,"","C","Adult",1,"Solo","High"
1,1,"female",30,0,0,86.5,"B77","S","Adult",1,"Solo","High"
1,1,"female",35,0,0,512.3292,"","C","Adult",1,"Solo","High"
1,2,"female",50,0,1,26,"","S","Adult",2,"Small Family","Medium"
0,3,"male",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
1,3,"male",3,4,2,31.3875,"","S","Child",7,"Large Family","High"
0,1,"male",52,1,1,79.65,"E67","S","Adult",3,"Small Family","High"
0,1,"male",40,0,0,0,"B94","S","Adult",1,"Solo","Low"
0,3,"female",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,2,"male",36,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",16,4,1,39.6875,"","S","Adult",6,"Large Family","High"
1,3,"male",25,1,0,7.775,"","S","Adult",2,"Small Family","Low"
1,1,"female",58,0,1,153.4625,"C125","S","Adult",2,"Small Family","High"
1,1,"female",35,0,0,135.6333,"C99","S","Adult",1,"Solo","High"
0,1,"male",28,0,0,31,"","S","Adult",1,"Solo","High"
1,3,"male",25,0,0,0,"","S","Adult",1,"Solo","Low"
1,2,"female",41,0,1,19.5,"","S","Adult",2,"Small Family","Medium"
0,1,"male",37,0,1,29.7,"C118","C","Adult",2,"Small Family","Medium"
1,3,"female",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
1,1,"female",63,1,0,77.9583,"D7","S","Elderly",2,"Small Family","High"
0,3,"female",45,0,0,7.75,"","S","Adult",1,"Solo","Low"
0,2,"male",28,0,0,0,"","S","Adult",1,"Solo","Low"
0,3,"male",7,4,1,29.125,"","Q","Child",6,"Large Family","Medium"
1,3,"female",35,1,1,20.25,"","S","Adult",3,"Small Family","Medium"
0,3,"male",65,0,0,7.75,"","Q","Elderly",1,"Solo","Low"
0,3,"male",28,0,0,7.8542,"","S","Adult",1,"Solo","Low"
0,3,"male",16,0,0,9.5,"","S","Adult",1,"Solo","Low"
1,3,"male",19,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,1,"male",28,0,0,26,"A19","S","Adult",1,"Solo","Medium"
0,3,"male",33,0,0,8.6625,"","C","Adult",1,"Solo","Low"
1,3,"male",30,0,0,9.5,"","S","Adult",1,"Solo","Low"
0,3,"male",22,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,2,"male",42,0,0,13,"","S","Adult",1,"Solo","Medium"
1,3,"female",22,0,0,7.75,"","Q","Adult",1,"Solo","Low"
1,1,"female",26,0,0,78.85,"","S","Adult",1,"Solo","High"
1,1,"female",19,1,0,91.0792,"B49","C","Adult",2,"Small Family","High"
0,2,"male",36,0,0,12.875,"D","C","Adult",1,"Solo","Medium"
0,3,"female",24,0,0,8.85,"","S","Adult",1,"Solo","Low"
0,3,"male",24,0,0,7.8958,"","S","Adult",1,"Solo","Low"
