"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","AgeGroup","FamilySize","FamilyType","FareGroup"
1,1,"female",52,1,0,78.2667,"D20","C","Adult",2,"Small Family","High"
0,3,"male",47,0,0,7.25,"","S","Adult",1,"Solo","Low"
0,3,"female",28,0,2,7.75,"","Q","Adult",3,"Small Family","Low"
0,2,"male",37,1,0,26,"","S","Adult",2,"Small Family","Medium"
0,3,"male",36,1,1,24.15,"","S","Adult",3,"Small Family","Medium"
1,2,"female",28,0,0,33,"","S","Adult",1,"Solo","High"
0,3,"male",49,0,0,0,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.225,"","C","Adult",1,"Solo","Low"
1,1,"male",49,1,0,56.9292,"A20","C","Adult",2,"Small Family","High"
1,2,"female",24,2,1,27,"","S","Adult",4,"Small Family","Medium"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,1,"male",28,0,0,42.4,"","S","Adult",1,"Solo","High"
0,3,"male",44,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,1,"male",35,0,0,26.55,"","C","Adult",1,"Solo","Medium"
0,3,"male",36,1,0,15.55,"","S","Adult",2,"Small Family","Medium"
0,3,"male",30,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,1,"male",27,0,0,30.5,"","S","Adult",1,"Solo","High"
1,2,"female",22,1,2,41.5792,"","C","Adult",4,"Small Family","High"
1,1,"female",40,0,0,153.4625,"C125","S","Adult",1,"Solo","High"
0,3,"female",39,1,5,31.275,"","S","Adult",7,"Large Family","High"
0,3,"male",28,0,0,7.05,"","S","Adult",1,"Solo","Low"
1,3,"female",28,1,0,15.5,"","Q","Adult",2,"Small Family","Medium"
0,3,"male",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,3,"male",35,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,2,"female",24,1,2,65,"","S","Adult",4,"Small Family","High"
0,3,"male",34,1,1,14.4,"","S","Adult",3,"Small Family","Medium"
0,3,"female",26,1,0,16.1,"","S","Adult",2,"Small Family","Medium"
1,2,"female",4,2,1,39,"F4","S","Child",4,"Small Family","High"
0,2,"male",26,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",27,1,0,14.4542,"","C","Adult",2,"Small Family","Medium"
1,1,"male",42,1,0,52.5542,"D19","S","Adult",2,"Small Family","High"
1,3,"male",20,1,1,15.7417,"","C","Adult",3,"Small Family","Medium"
0,3,"male",21,0,0,7.8542,"","S","Adult",1,"Solo","Low"
0,3,"male",21,0,0,16.1,"","S","Adult",1,"Solo","Medium"
0,1,"male",61,0,0,32.3208,"D50","S","Elderly",1,"Solo","High"
0,2,"male",57,0,0,12.35,"","Q","Adult",1,"Solo","Medium"
1,1,"female",21,0,0,77.9583,"D9","S","Adult",1,"Solo","High"
0,3,"male",26,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.7333,"","Q","Adult",1,"Solo","Low"
1,1,"male",80,0,0,30,"A23","S","Elderly",1,"Solo","High"
0,3,"male",51,0,0,7.0542,"","S","Adult",1,"Solo","Low"
1,1,"male",32,0,0,30.5,"B50","C","Adult",1,"Solo","High"
0,1,"male",28,0,0,0,"","S","Adult",1,"Solo","Low"
0,3,"female",9,3,2,27.9,"","S","Child",6,"Large Family","Medium"
1,2,"female",28,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",32,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,2,"male",31,1,1,26.25,"","S","Adult",3,"Small Family","Medium"
0,3,"female",41,0,5,39.6875,"","S","Adult",6,"Large Family","High"
0,3,"male",28,1,0,16.1,"","S","Adult",2,"Small Family","Medium"
0,3,"male",20,0,0,7.8542,"","S","Adult",1,"Solo","Low"
1,1,"female",24,0,0,69.3,"B35","C","Adult",1,"Solo","High"
0,3,"female",2,3,2,27.9,"","S","Child",6,"Large Family","Medium"
1,3,"male",28,0,0,56.4958,"","S","Adult",1,"Solo","High"
1,3,"female",0.75,2,1,19.2583,"","C","Child",4,"Small Family","Medium"
1,1,"male",48,1,0,76.7292,"D33","C","Adult",2,"Small Family","High"
0,3,"male",19,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,1,"male",56,0,0,35.5,"A26","C","Adult",1,"Solo","High"
0,3,"male",28,0,0,7.55,"","S","Adult",1,"Solo","Low"
1,3,"female",23,0,0,7.55,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,2,"female",18,0,1,23,"","S","Adult",2,"Small Family","Medium"
0,3,"male",21,0,0,8.4333,"","S","Adult",1,"Solo","Low"
1,3,"female",28,0,0,7.8292,"","Q","Adult",1,"Solo","Low"
0,3,"female",18,0,0,6.75,"","Q","Adult",1,"Solo","Low"
0,2,"male",24,2,0,73.5,"","S","Adult",3,"Small Family","High"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"female",32,1,1,15.5,"","Q","Adult",3,"Small Family","Medium"
0,2,"male",23,0,0,13,"","S","Adult",1,"Solo","Medium"
0,1,"male",58,0,2,113.275,"D48","C","Adult",3,"Small Family","High"
1,1,"male",50,2,0,133.65,"","S","Adult",3,"Small Family","High"
0,3,"male",40,0,0,7.225,"","C","Adult",1,"Solo","Low"
0,1,"male",47,0,0,25.5875,"E58","S","Adult",1,"Solo","Medium"
0,3,"male",36,0,0,7.4958,"","S","Adult",1,"Solo","Low"
1,3,"male",20,1,0,7.925,"","S","Adult",2,"Small Family","Low"
0,2,"male",32,2,0,73.5,"","S","Adult",3,"Small Family","High"
0,2,"male",25,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,7.775,"","S","Adult",1,"Solo","Low"
0,3,"male",43,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,1,"female",28,1,0,52,"C126","S","Adult",2,"Small Family","High"
1,2,"female",40,1,1,39,"","S","Adult",3,"Small Family","High"
0,1,"male",31,1,0,52,"B71","S","Adult",2,"Small Family","High"
0,2,"male",70,0,0,10.5,"","S","Elderly",1,"Solo","Medium"
1,2,"male",31,0,0,13,"","S","Adult",1,"Solo","Medium"
0,2,"male",28,0,0,0,"","S","Adult",1,"Solo","Low"
0,3,"male",18,0,0,7.775,"","S","Adult",1,"Solo","Low"
0,3,"male",24.5,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,3,"female",18,0,0,9.8417,"","S","Adult",1,"Solo","Low"
0,3,"female",43,1,6,46.9,"","S","Adult",8,"Large Family","High"
1,1,"male",36,0,1,512.3292,"B51 B53 B55","C","Adult",2,"Small Family","High"
0,3,"female",28,0,0,8.1375,"","Q","Adult",1,"Solo","Low"
1,1,"male",27,0,0,76.7292,"D49","C","Adult",1,"Solo","High"
0,3,"male",20,0,0,9.225,"","S","Adult",1,"Solo","Low"
0,3,"male",14,5,2,46.9,"","S","Child",8,"Large Family","High"
0,2,"male",60,1,1,39,"","S","Elderly",3,"Small Family","High"
0,2,"male",25,1,2,41.5792,"","C","Adult",4,"Small Family","High"
0,3,"male",14,4,1,39.6875,"","S","Child",6,"Large Family","High"
0,3,"male",19,0,0,10.1708,"","S","Adult",1,"Solo","Medium"
0,3,"male",18,0,0,7.7958,"","S","Adult",1,"Solo","Low"
1,1,"female",15,0,1,211.3375,"B5","S","Child",2,"Small Family","High"
1,1,"male",31,1,0,57,"B20","S","Adult",2,"Small Family","High"
1,3,"female",4,0,1,13.4167,"","C","Child",2,"Small Family","Medium"
1,3,"male",28,0,0,56.4958,"","S","Adult",1,"Solo","High"
0,3,"male",25,0,0,7.225,"","C","Adult",1,"Solo","Low"
0,1,"male",60,0,0,26.55,"","S","Elderly",1,"Solo","Medium"
0,2,"male",52,0,0,13.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",44,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,3,"female",28,0,0,7.7333,"","Q","Adult",1,"Solo","Low"
0,1,"male",49,1,1,110.8833,"C68","C","Adult",3,"Small Family","High"
0,3,"male",42,0,0,7.65,"F G63","S","Adult",1,"Solo","Low"
1,1,"female",18,1,0,227.525,"C62 C64","C","Adult",2,"Small Family","High"
1,1,"male",35,0,0,26.2875,"E24","S","Adult",1,"Solo","Medium"
0,3,"female",18,0,1,14.4542,"","C","Adult",2,"Small Family","Medium"
0,3,"male",25,0,0,7.7417,"","Q","Adult",1,"Solo","Low"
0,3,"male",26,1,0,7.8542,"","S","Adult",2,"Small Family","Low"
0,2,"male",39,0,0,26,"","S","Adult",1,"Solo","Medium"
1,2,"female",45,0,0,13.5,"","S","Adult",1,"Solo","Medium"
1,1,"male",42,0,0,26.2875,"E24","S","Adult",1,"Solo","Medium"
1,1,"female",22,0,0,151.55,"","S","Adult",1,"Solo","High"
1,3,"male",28,1,1,15.2458,"","C","Adult",3,"Small Family","Medium"
1,1,"female",24,0,0,49.5042,"C90","C","Adult",1,"Solo","High"
0,1,"male",28,0,0,26.55,"C124","S","Adult",1,"Solo","Medium"
1,1,"male",48,1,0,52,"C126","S","Adult",2,"Small Family","High"
0,3,"male",29,0,0,9.4833,"","S","Adult",1,"Solo","Low"
0,2,"male",52,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",19,0,0,7.65,"F G73","S","Adult",1,"Solo","Low"
1,1,"female",38,0,0,227.525,"C45","C","Adult",1,"Solo","High"
1,2,"female",27,0,0,10.5,"E101","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,15.5,"","Q","Adult",1,"Solo","Medium"
0,3,"male",33,0,0,7.775,"","S","Adult",1,"Solo","Low"
1,2,"female",6,0,1,33,"","S","Child",2,"Small Family","High"
0,3,"male",17,1,0,7.0542,"","S","Adult",2,"Small Family","Low"
0,2,"male",34,0,0,13,"","S","Adult",1,"Solo","Medium"
0,2,"male",50,0,0,13,"","S","Adult",1,"Solo","Medium"
1,1,"male",27,1,0,53.1,"E8","S","Adult",2,"Small Family","High"
0,3,"male",20,0,0,8.6625,"","S","Adult",1,"Solo","Low"
1,2,"female",30,3,0,21,"","S","Adult",4,"Small Family","Medium"
1,3,"female",28,0,0,7.7375,"","Q","Adult",1,"Solo","Low"
0,2,"male",25,1,0,26,"","S","Adult",2,"Small Family","Medium"
0,3,"female",25,1,0,7.925,"","S","Adult",2,"Small Family","Low"
1,1,"female",29,0,0,211.3375,"B5","S","Adult",1,"Solo","High"
0,3,"male",11,0,0,18.7875,"","C","Child",1,"Solo","Medium"
0,2,"male",28,0,0,0,"","S","Adult",1,"Solo","Low"
0,2,"male",23,0,0,13,"","S","Adult",1,"Solo","Medium"
0,2,"male",23,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",28.5,0,0,16.1,"","S","Adult",1,"Solo","Medium"
0,3,"female",48,1,3,34.375,"","S","Adult",5,"Large Family","High"
1,1,"male",35,0,0,512.3292,"B101","C","Adult",1,"Solo","High"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,1,"male",28,0,0,30,"D45","S","Adult",1,"Solo","High"
0,1,"male",36,1,0,78.85,"C46","S","Adult",2,"Small Family","High"
1,1,"female",21,2,2,262.375,"B57 B59 B63 B66","C","Adult",5,"Large Family","High"
0,3,"male",24,1,0,16.1,"","S","Adult",2,"Small Family","Medium"
1,3,"male",31,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,1,"male",70,1,1,71,"B22","S","Elderly",3,"Small Family","High"
0,3,"male",16,1,1,20.25,"","S","Adult",3,"Small Family","Medium"
1,2,"female",30,0,0,13,"","S","Adult",1,"Solo","Medium"
0,1,"male",19,1,0,53.1,"D30","S","Adult",2,"Small Family","High"
0,3,"male",31,0,0,7.75,"","Q","Adult",1,"Solo","Low"
1,2,"female",4,1,1,23,"","S","Child",3,"Small Family","Medium"
1,3,"male",6,0,1,12.475,"E121","S","Child",2,"Small Family","Medium"
0,3,"male",33,0,0,9.5,"","S","Adult",1,"Solo","Low"
0,3,"male",23,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,2,"female",48,1,2,65,"","S","Adult",4,"Small Family","High"
1,2,"male",0.67,1,1,14.5,"","S","Child",3,"Small Family","Medium"
0,3,"male",28,0,0,7.7958,"","S","Adult",1,"Solo","Low"
0,2,"male",18,0,0,11.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",34,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,1,"female",33,0,0,86.5,"B77","S","Adult",1,"Solo","High"
0,3,"male",28,0,0,14.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",41,0,0,7.125,"","S","Adult",1,"Solo","Low"
1,3,"male",20,0,0,7.2292,"","C","Adult",1,"Solo","Low"
1,1,"female",36,1,2,120,"B96 B98","S","Adult",4,"Small Family","High"
0,3,"male",16,0,0,7.775,"","S","Adult",1,"Solo","Low"
1,1,"female",51,1,0,77.9583,"D11","S","Adult",2,"Small Family","High"
0,1,"male",28,0,0,39.6,"","C","Adult",1,"Solo","High"
0,3,"female",30.5,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,3,"male",28,1,0,24.15,"","Q","Adult",2,"Small Family","Medium"
0,3,"male",32,0,0,8.3625,"","S","Adult",1,"Solo","Low"
0,3,"male",24,0,0,9.5,"","S","Adult",1,"Solo","Low"
0,3,"male",48,0,0,7.8542,"","S","Adult",1,"Solo","Low"
0,2,"female",57,0,0,10.5,"E77","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,7.225,"","C","Adult",1,"Solo","Low"
1,2,"female",54,1,3,23,"","S","Adult",5,"Large Family","Medium"
0,3,"male",18,0,0,7.75,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.75,"F38","Q","Adult",1,"Solo","Low"
1,3,"female",5,0,0,12.475,"","S","Child",1,"Solo","Medium"
0,3,"male",28,0,0,7.7375,"","Q","Adult",1,"Solo","Low"
1,1,"female",43,0,1,211.3375,"B3","S","Adult",2,"Small Family","High"
1,3,"female",13,0,0,7.2292,"","C","Child",1,"Solo","Low"
1,1,"female",17,1,0,57,"B20","S","Adult",2,"Small Family","High"
0,1,"male",29,0,0,30,"D6","S","Adult",1,"Solo","High"
0,3,"male",28,1,2,23.45,"","S","Adult",4,"Small Family","Medium"
0,3,"male",25,0,0,7.05,"","S","Adult",1,"Solo","Low"
0,3,"male",25,0,0,7.25,"","S","Adult",1,"Solo","Low"
1,3,"female",18,0,0,7.4958,"","S","Adult",1,"Solo","Low"
0,3,"male",8,4,1,29.125,"","Q","Child",6,"Large Family","Medium"
1,3,"male",1,1,2,20.575,"","S","Child",4,"Small Family","Medium"
0,1,"male",46,0,0,79.2,"B82 B84","C","Adult",1,"Solo","High"
0,3,"male",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,2,"male",16,0,0,26,"","S","Adult",1,"Solo","Medium"
0,3,"female",28,8,2,69.55,"","S","Adult",11,"Large Family","High"
0,1,"male",28,0,0,30.6958,"","C","Adult",1,"Solo","High"
0,3,"male",25,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,2,"male",39,0,0,13,"","S","Adult",1,"Solo","Medium"
1,1,"female",49,0,0,25.9292,"D17","S","Adult",1,"Solo","Medium"
1,3,"female",31,0,0,8.6833,"","S","Adult",1,"Solo","Low"
0,3,"male",30,0,0,7.2292,"","C","Adult",1,"Solo","Low"
0,3,"female",30,1,1,24.15,"","S","Adult",3,"Small Family","Medium"
0,2,"male",34,0,0,13,"","S","Adult",1,"Solo","Medium"
1,2,"female",31,1,1,26.25,"","S","Adult",3,"Small Family","Medium"
1,1,"male",11,1,2,120,"B96 B98","S","Child",4,"Small Family","High"
1,3,"male",0.42,0,1,8.5167,"","C","Child",2,"Small Family","Low"
1,3,"male",27,0,0,6.975,"","S","Adult",1,"Solo","Low"
0,3,"male",31,0,0,7.775,"","S","Adult",1,"Solo","Low"
0,1,"male",39,0,0,0,"A36","S","Adult",1,"Solo","Low"
0,3,"female",18,0,0,7.775,"","S","Adult",1,"Solo","Low"
0,2,"male",39,0,0,13,"","S","Adult",1,"Solo","Medium"
1,1,"female",33,1,0,53.1,"E8","S","Adult",2,"Small Family","High"
0,3,"male",26,0,0,7.8875,"","S","Adult",1,"Solo","Low"
0,3,"male",39,0,0,24.15,"","S","Adult",1,"Solo","Medium"
0,2,"male",35,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,3,"female",6,4,2,31.275,"","S","Child",7,"Large Family","High"
0,3,"male",30.5,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,1,"male",28,0,0,0,"B102","S","Adult",1,"Solo","Low"
0,3,"female",23,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,2,"male",31,1,1,37.0042,"","C","Adult",3,"Small Family","High"
0,3,"male",43,0,0,6.45,"","S","Adult",1,"Solo","Low"
0,3,"male",10,3,2,27.9,"","S","Child",6,"Large Family","Medium"
1,1,"female",52,1,1,93.5,"B69","S","Adult",3,"Small Family","High"
1,3,"male",27,0,0,8.6625,"","S","Adult",1,"Solo","Low"
0,1,"male",38,0,0,0,"","S","Adult",1,"Solo","Low"
1,3,"female",27,0,1,12.475,"E121","S","Adult",2,"Small Family","Medium"
0,3,"male",2,4,1,39.6875,"","S","Child",6,"Large Family","High"
0,3,"male",28,0,0,6.95,"","Q","Adult",1,"Solo","Low"
0,3,"male",28,0,0,56.4958,"","S","Adult",1,"Solo","High"
1,2,"male",1,0,2,37.0042,"","C","Child",3,"Small Family","High"
1,3,"male",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
1,1,"female",62,0,0,80,"B28","S","Elderly",1,"Solo","High"
1,3,"female",15,1,0,14.4542,"","C","Child",2,"Small Family","Medium"
1,2,"male",0.83,1,1,18.75,"","S","Child",3,"Small Family","Medium"
0,3,"male",28,0,0,7.2292,"","C","Adult",1,"Solo","Low"
0,3,"male",23,0,0,7.8542,"","S","Adult",1,"Solo","Low"
0,3,"male",18,0,0,8.3,"","S","Adult",1,"Solo","Low"
1,1,"female",39,1,1,83.1583,"E49","C","Adult",3,"Small Family","High"
0,3,"male",21,0,0,8.6625,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,3,"male",32,0,0,56.4958,"","S","Adult",1,"Solo","High"
1,1,"male",28,0,0,29.7,"C47","C","Adult",1,"Solo","Medium"
0,3,"male",20,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,2,"male",16,0,0,10.5,"","S","Adult",1,"Solo","Medium"
1,1,"female",30,0,0,31,"","C","Adult",1,"Solo","High"
0,3,"male",34.5,0,0,6.4375,"","C","Adult",1,"Solo","Low"
0,3,"male",17,0,0,8.6625,"","S","Adult",1,"Solo","Low"
0,3,"male",42,0,0,7.55,"","S","Adult",1,"Solo","Low"
0,3,"male",28,8,2,69.55,"","S","Adult",11,"Large Family","High"
0,3,"male",35,0,0,7.8958,"","C","Adult",1,"Solo","Low"
0,2,"male",28,0,1,33,"","S","Adult",2,"Small Family","High"
1,1,"female",28,1,0,89.1042,"C92","C","Adult",2,"Small Family","High"
0,3,"male",4,4,2,31.275,"","S","Child",7,"Large Family","High"
0,3,"male",74,0,0,7.775,"","S","Elderly",1,"Solo","Low"
0,3,"female",9,1,1,15.2458,"","C","Child",3,"Small Family","Medium"
1,1,"female",16,0,1,39.4,"D28","S","Adult",2,"Small Family","High"
0,2,"female",44,1,0,26,"","S","Adult",2,"Small Family","Medium"
1,3,"female",18,0,1,9.35,"","S","Adult",2,"Small Family","Low"
1,1,"female",45,1,1,164.8667,"","S","Adult",3,"Small Family","High"
1,1,"male",51,0,0,26.55,"E17","S","Adult",1,"Solo","Medium"
1,3,"female",24,0,3,19.2583,"","C","Adult",4,"Small Family","Medium"
0,3,"male",28,0,0,7.2292,"","C","Adult",1,"Solo","Low"
0,3,"male",41,2,0,14.1083,"","S","Adult",3,"Small Family","Medium"
0,2,"male",21,1,0,11.5,"","S","Adult",2,"Small Family","Medium"
1,1,"female",48,0,0,25.9292,"D17","S","Adult",1,"Solo","Medium"
0,3,"female",28,8,2,69.55,"","S","Adult",11,"Large Family","High"
0,2,"male",24,0,0,13,"","S","Adult",1,"Solo","Medium"
1,2,"female",42,0,0,13,"","S","Adult",1,"Solo","Medium"
1,2,"female",27,1,0,13.8583,"","C","Adult",2,"Small Family","Medium"
0,1,"male",31,0,0,50.4958,"A24","S","Adult",1,"Solo","High"
0,3,"male",28,0,0,9.5,"","S","Adult",1,"Solo","Low"
1,3,"male",4,1,1,11.1333,"","S","Child",3,"Small Family","Medium"
0,3,"male",26,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,1,"female",47,1,1,52.5542,"D35","S","Adult",3,"Small Family","High"
0,1,"male",33,0,0,5,"B51 B53 B55","S","Adult",1,"Solo","Low"
0,3,"male",47,0,0,9,"","S","Adult",1,"Solo","Low"
1,2,"female",28,1,0,24,"","C","Adult",2,"Small Family","Medium"
1,3,"female",15,0,0,7.225,"","C","Child",1,"Solo","Low"
0,3,"male",20,0,0,9.8458,"","S","Adult",1,"Solo","Low"
0,3,"male",19,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,1,"female",56,0,1,83.1583,"C50","C","Adult",2,"Small Family","High"
1,2,"female",25,0,1,26,"","S","Adult",2,"Small Family","Medium"
0,3,"male",33,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"female",22,0,0,10.5167,"","S","Adult",1,"Solo","Medium"
0,2,"male",28,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",25,0,0,7.05,"","S","Adult",1,"Solo","Low"
0,3,"female",39,0,5,29.125,"","Q","Adult",6,"Large Family","Medium"
0,2,"male",27,0,0,13,"","S","Adult",1,"Solo","Medium"
1,1,"female",19,0,0,30,"B42","S","Adult",1,"Solo","High"
0,3,"female",28,1,2,23.45,"","S","Adult",4,"Small Family","Medium"
1,1,"male",26,0,0,30,"C148","C","Adult",1,"Solo","High"
0,3,"male",32,0,0,7.75,"","Q","Adult",1,"Solo","Low"
